"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Authentication","Login","Successful login","0","0","1","0","0"
"Authentication","Login","Failed login","0","0","1","0","0"
"Store","Shopping Cart","","0","0","5","0","0"
"Store","Product Catalog","","0","0","9","0","0"
"Store","Checkout","","0","0","1","0","0"
"Authentication","Login","Input validation","0","0","3","0","0"
"API + UI","Hybrid Tests","API health → UI load","0","0","1","0","0"
"API + UI","Hybrid Tests","","0","0","1","0","0"
"Store","Checkout","Checkout validation","0","0","2","0","0"
"Authentication","Login","Locked account","0","0","1","0","0"
"API + UI","Hybrid Tests","Error handling","0","0","1","0","0"
"Store","Checkout","Happy path checkout","0","0","1","0","0"
